topology,layout,permutation,input_port,output_port,route_status,failure_reason,physical_wiring_um,bend_count,crossing_count,physical_il_db,topology_il_db,il_delta_db,topology_wiring_um,wiring_delta_um,mrr_loss_db,sxr_db,n_logical,layer,perm_idx,seed
spanke_benes_6x6,default,3-1-2-0-4-5,1,1,routed,,1764.079633,20,7,6.853600,4.667441,2.186159,1071.000000,693.079633,2.525441,5.878684,6,physical,2,42
spanke_benes_6x6,default,3-1-2-0-4-5,2,2,routed,,2043.203522,26,11,7.841848,4.843441,2.998407,1159.000000,884.203522,2.525441,5.802525,6,physical,2,42
spanke_benes_6x6,default,3-1-2-0-4-5,3,0,routed,,2034.619449,30,10,8.227727,5.294488,2.933239,1143.000000,891.619449,3.008488,4.311219,6,physical,2,42
spanke_benes_6x6,default,3-1-2-0-4-5,4,4,routed,,1505.247780,12,6,4.338787,2.762292,1.576496,1047.000000,458.247780,0.668292,17.983491,6,physical,2,42
spanke_benes_6x6,default,3-1-2-0-4-5,5,5,routed,,1264.123890,6,2,2.981012,2.204764,0.776248,991.000000,273.123890,0.222764,23.246787,6,physical,2,42
padded_benes_8x8,default,1-3-4-2-6-0-5,0,1,routed,,861.101761,13,11,4.484070,2.794867,1.689204,599.000000,262.101761,1.596867,11.213968,7,physical,0,42
padded_benes_8x8,default,1-3-4-2-6-0-5,1,3,routed,,1364.079633,20,12,5.625026,2.978867,2.646159,691.000000,673.079633,1.596867,10.721428,7,physical,0,42
padded_benes_8x8,default,1-3-4-2-6-0-5,2,4,routed,,1792.473431,31,9,7.685954,4.588007,3.097947,771.000000,1021.473431,3.046007,4.270441,7,physical,0,42
padded_benes_8x8,default,1-3-4-2-6-0-5,3,2,routed,,1547.787596,22,14,6.202442,3.290867,2.911575,847.000000,700.787596,1.596867,8.861825,7,physical,0,42
padded_benes_8x8,default,1-3-4-2-6-0-5,4,6,routed,,1361.641578,23,9,5.335150,3.170867,2.164283,787.000000,574.641578,1.596867,9.658569,7,physical,0,42
padded_benes_8x8,default,1-3-4-2-6-0-5,5,0,routed,,1546.619449,30,7,6.989246,4.644007,2.345239,799.000000,747.619449,3.046007,4.298539,7,physical,0,42
