edge_id,waveguide_owner_edge_id,kind,source_endpoint,source_wire,source_blocked,target_endpoint,target_wire,target_blocked,source_stage,target_stage
stage:4:w2:padded_benes_16x16_s4_w2_6.th->padded_benes_16x16_s5_w0_2.add:w2,input:w2->padded_benes_16x16_s0_w2_3.in,interstage,padded_benes_16x16_s4_w2_6.th,2,False,padded_benes_16x16_s5_w0_2.add,2,False,4,5
stage:4:w3:padded_benes_16x16_s4_w3_7.th->padded_benes_16x16_s5_w1_3.add:w3,input:w3->padded_benes_16x16_s0_w2_3.add,interstage,padded_benes_16x16_s4_w3_7.th,3,False,padded_benes_16x16_s5_w1_3.add,3,False,4,5
stage:4:w4:padded_benes_16x16_s4_w0_4.drop->padded_benes_16x16_s5_w4_6.in:w4,input:w4->padded_benes_16x16_s0_w4_5.in,interstage,padded_benes_16x16_s4_w0_4.drop,4,False,padded_benes_16x16_s5_w4_6.in,4,False,4,5
stage:4:w5:padded_benes_16x16_s4_w1_5.drop->padded_benes_16x16_s5_w5_7.in:w5,input:w5->padded_benes_16x16_s0_w4_5.add,interstage,padded_benes_16x16_s4_w1_5.drop,5,False,padded_benes_16x16_s5_w5_7.in,5,False,4,5
stage:4:w6:padded_benes_16x16_s4_w2_6.drop->padded_benes_16x16_s5_w4_6.add:w6,input:w6->padded_benes_16x16_s0_w6_7.in,interstage,padded_benes_16x16_s4_w2_6.drop,6,False,padded_benes_16x16_s5_w4_6.add,6,False,4,5
stage:4:w7:padded_benes_16x16_s4_w3_7.drop->padded_benes_16x16_s5_w5_7.add:w7,input:w7->padded_benes_16x16_s0_w6_7.add,interstage,padded_benes_16x16_s4_w3_7.drop,7,False,padded_benes_16x16_s5_w5_7.add,7,False,4,5
stage:4:w8:padded_benes_16x16_s4_w8_12.th->padded_benes_16x16_s5_w8_10.in:w8,input:w8->padded_benes_16x16_s0_w8_9.in,interstage,padded_benes_16x16_s4_w8_12.th,8,False,padded_benes_16x16_s5_w8_10.in,8,False,4,5
stage:4:w9:padded_benes_16x16_s4_w9_13.th->padded_benes_16x16_s5_w9_11.in:w9,input:w9->padded_benes_16x16_s0_w8_9.add,interstage,padded_benes_16x16_s4_w9_13.th,9,False,padded_benes_16x16_s5_w9_11.in,9,False,4,5
stage:4:w10:padded_benes_16x16_s4_w10_14.th->padded_benes_16x16_s5_w8_10.add:w10,input:w10->padded_benes_16x16_s0_w10_11.in,interstage,padded_benes_16x16_s4_w10_14.th,10,False,padded_benes_16x16_s5_w8_10.add,10,False,4,5
stage:4:w11:padded_benes_16x16_s4_w11_15.th->padded_benes_16x16_s5_w9_11.add:w11,input:w11->padded_benes_16x16_s0_w10_11.add,interstage,padded_benes_16x16_s4_w11_15.th,11,False,padded_benes_16x16_s5_w9_11.add,11,False,4,5
